UID Route,OD Pair Name,Departure,Arrival,Num. of Flights,Cruise Time (min),Total Taxi/Idle (min),Fuel Consumption (kg/pax/mi),CO2 (kg/pax/mi),HC (kg/pax/mi),CO (kg/pax/mi),NOx (kg/pax/mi),NOx Dep Airport (kg/pax/mi),NOx Arr Airport (kg/pax/mi),PM (kg/pax/mi),PM Dep Airport (kg/pax/mi),PM Arr Airport (kg/pax/mi),Pax,Distance (mi),True Dist (mi),Dep Lat,Dep Lon,Arr Lat,Arr Lon,Route Type,Common A/C Type,CO2 Community,Upper/Lower Half,Speed Ratio,Freq. Alice Equivalent,Freq. ZA Equivalent,Flight Hr. Coef,Num. Jet AC,EA EF (kg CO2 eq),ZA EF (kg CO2 eq)
SNAFAT,FATSNA,SNA,FAT,19,36.88947368,16.86842105,0.7943839309999999,2.505153675,0.0033202170000000003,0.009636472,0.010402235,0.003557447,0.000610733,0.000101625,7e-06,7.709999999999999e-07,9.526315789,237.97122230000002,237.97122230000002,33.67570114,-117.86799620000001,36.77619934,-119.71800230000001,Intra-CA,BE400,47.59791983,1,2.0318181818181817,38.0,19.0,0.0005484506910595959,0.00393570370325463,0.1298,3.7754140539999996
FATVNY,FATVNY,FAT,VNY,12,28.18333333,17.75,0.770863706,2.430239136,0.000233088,0.005266621,0.009534724,0.0018854070000000002,0.00046002300000000005,9.22e-05,8.529999999999999e-07,1.2e-07,10.5,189.989155,189.989155,36.77619934,-119.71800230000001,34.20980072,-118.4899979,Intra-CA,C680,29.16286963,1,2.090909090909091,24.0,12.0,0.00046432659928787875,0.0019062777775555554,0.0436,0.9828583332999999
VNYFAT,FATVNY,VNY,FAT,12,27.35,18.25,0.7496627370000001,2.363287821,0.00029925,0.005858844,0.009604691,0.001755405,0.000440913,6.8e-05,7.65e-07,8.44e-08,9.583333332999999,189.989155,189.989155,34.20980072,-118.4899979,36.77619934,-119.71800230000001,Intra-CA,C680,28.35945385,1,2.090909090909091,24.0,12.0,0.0004574242424242424,0.0018512777777777776,0.3211,8.998573784
FLGLAX,FLGLAX,FLG,LAX,17,54.1,25.85294118,0.18997977600000002,0.598616808,0.000150991,0.0009867810000000002,0.002088296,0.000378778,0.00010673200000000001,1.57e-05,1.91e-06,2.4399999999999996e-07,41.08823529,231.0754665,392.9301769360595,35.13850021,-111.6709976,33.94250107,-118.40799709999999,Domestic Out-of-CA,CL700RJ,10.17648574,0,2.0318181818181817,85.0,51.0,0.0007926350267575757,0.005161000000005555,0.3645,9.343433683999999
LAXFLG,FLGLAX,LAX,FLG,18,53.15555556,22.83333333,0.21224462600000002,0.668956398,0.000216873,0.001387255,0.0023804670000000003,0.00039763300000000005,8.96e-05,1.8100000000000003e-05,2.07e-06,1.83e-07,39.30555555,231.0754665,392.9301769360595,33.94250107,-118.40799709999999,35.13850021,-111.6709976,Domestic Out-of-CA,CL700RJ,12.04121517,0,2.0318181818181817,90.0,54.0,0.000765198653230303,0.005365111111550001,0.3211,8.998573784
HHRSJC,HHRSJC,HHR,SJC,22,45.19090909,16.13636364,0.679291775,2.1409928480000002,0.00053725,0.006173346999999999,0.010488102,0.001445949,0.00035765,4.79e-05,9.98e-07,1.14e-07,8.181818182,311.62884260000004,311.62884260000004,33.922798,-118.334999,37.362598,-121.929001,Intra-CA,C680,47.10184265,1,2.090909090909091,22.0,22.0,0.000652924701570707,0.005570259259155556,0.1298,3.7754140539999996
SJCHHR,HHRSJC,SJC,HHR,20,44.7,18.2,0.6690576420000001,2.108805886,0.000566299,0.006043085,0.00987914,0.001494509,0.00036977099999999997,6.0299999999999995e-05,1e-06,1.2099999999999998e-07,8.7,311.62884260000004,311.62884260000004,37.362598,-121.929001,33.922798,-118.334999,Intra-CA,C680,42.17611772,1,2.090909090909091,20.0,20.0,0.0006586868686868687,0.0050131481481481485,0.0436,0.9828583332999999
LASLVK,LASLVK,LAS,LVK,21,56.62380952,19.16666667,0.636042902,2.003903455,0.00011755700000000001,0.00382928,0.00809708,0.001274528,0.000304722,9.2e-05,1.06e-06,1.26e-07,9.761904762,314.0679845,385.6357051730155,36.08010101,-115.15200039999999,37.69340134,-121.8199997,Domestic Out-of-CA,C680,42.08197256,1,2.090909090909091,42.0,21.0,0.0008025661375404041,0.006656796295858333,0.547,11.4239039
LVKLAS,LASLVK,LVK,LAS,13,53.25384615,20.03846154,0.653777367,2.060416,0.00016146299999999998,0.004132304,0.008086304,0.001256762,0.000302865,7.609999999999999e-05,7.4e-07,9.199999999999999e-08,10.0,314.0679845,385.6357051730155,37.69340134,-121.8199997,36.08010101,-115.15200039999999,Domestic Out-of-CA,C680,26.785408,1,2.090909090909091,26.0,13.0,0.0007682634032272728,0.003878537036761111,0.0436,0.9828583332999999
MRYLAS,LASMRY,MRY,LAS,148,53.49189189,18.19594595,0.125279847,0.394834736,0.00010981600000000001,0.000630065,0.002104546,0.00039366,6.96e-05,1.36e-05,1.1e-06,3.79e-08,98.53725601,322.41476989999995,374.83475575932096,36.587001799999996,-121.84300230000001,36.08010101,-115.15200039999999,Domestic Out-of-CA,A319,58.43554091,0,2.0336363636363637,1628.0,1036.0,0.0007437722358733838,0.04432612962812963,0.0436,0.9828583332999999
LASPSP,LASPSP,LAS,PSP,49,26.77346939,20.25510204,0.440448057,1.3878846440000001,0.00024638,0.0030278429999999997,0.0056590930000000005,0.001938456,0.000419467,3.8e-05,2.1e-06,1.6300000000000002e-07,15.14285714,138.36914919999998,173.14084212318306,36.08010101,-115.15200039999999,33.82970047,-116.50700379999999,Domestic Out-of-CA,C680,68.00634753,1,2.090909090909091,98.0,49.0,0.0004618666254595959,0.007411537037644443,0.547,11.4239039
PSPLAS,LASPSP,PSP,LAS,50,30.0,20.0,0.49199015100000004,1.5508500319999998,0.000268984,0.003512985,0.00637856,0.0014802779999999998,0.00035731099999999997,3.570000000000001e-05,2.04e-06,1.74e-07,17.99333333,138.36914919999998,173.14084212318306,33.82970047,-116.50700379999999,36.08010101,-115.15200039999999,Domestic Out-of-CA,C680,77.54250159,1,2.090909090909091,100.0,100.0,0.0004979292929292928,0.008457870370370369,0.1298,3.7754140539999996
LASSBA,LASSBA,LAS,SBA,17,41.68823529,20.38235294,0.509411944,1.605071869,0.000252196,0.003200664,0.00616166,0.001187127,0.00028983,4.5600000000000004e-05,2.76e-06,2.75e-07,10.52941176,252.69735490000002,288.53495091133004,36.08010101,-115.15200039999999,34.42620087,-119.8399963,Domestic Out-of-CA,C680,27.28622177,1,2.090909090909091,34.0,17.0,0.0006358259060656565,0.003980166666275926,0.547,11.4239039
SBALAS,LASSBA,SBA,LAS,31,42.19677419,17.98387097,0.630127189,1.985937517,0.000567777,0.0042469529999999995,0.008722190999999999,0.0013299829999999999,0.000316924,4.48e-05,1.39e-06,1.54e-07,9.483870968,252.69735490000002,288.53495091133004,34.42620087,-119.8399963,36.08010101,-115.15200039999999,Domestic Out-of-CA,C680,61.56406303,1,2.090909090909091,31.0,31.0,0.0006284082762828282,0.00733864814754352,0.0436,0.9828583332999999
STSLAS,LASSTS,STS,LAS,24,60.975,21.125,0.141349895,0.44544367700000004,4.59e-05,0.000537804,0.00213692,0.00030091,6.850000000000001e-05,1.64e-05,1.05e-06,2.58e-08,76.67361111,367.9552627,453.91789717509016,38.50899887,-122.8130035,36.08010101,-115.15200039999999,Domestic Out-of-CA,B738,10.69064826,0,2.059090909090909,216.0,144.0,0.0008532114898989901,0.00819227777777778,0.0436,0.9828583332999999
LASTRM,LASTRM,LAS,TRM,31,23.42258065,21.24193548,0.546378543,1.7222826,0.000852393,0.005192212,0.006488102,0.004698311,0.0009593039999999999,4.88e-05,5.9e-06,7.340000000000001e-07,8.741935483999999,141.85684530000003,178.55504348730307,36.08010101,-115.15200039999999,33.62670135,-116.1600037,Domestic Out-of-CA,C680,53.39076059,1,2.090909090909091,31.0,31.0,0.00042842456829797975,0.004114666667488889,0.547,11.4239039
TRMLAS,LASTRM,TRM,LAS,40,30.975,20.7,0.7955588859999999,2.508719705,0.001490913,0.008709438,0.01040588,0.003977447,0.00086036,7.54e-05,5.86e-06,7.340000000000001e-07,10.38426095,141.85684530000003,178.55504348730307,33.62670135,-116.1600037,36.08010101,-115.15200039999999,Domestic Out-of-CA,C680,100.3487882,1,2.090909090909091,80.0,40.0,0.0005131439393939393,0.006985555555555556,0.2809,6.02298322
LASVNY,LASVNY,LAS,VNY,491,35.09185336,20.21690428,0.640863037,2.019456443,0.00036581900000000003,0.0044623829999999995,0.006332964,0.0022818829999999997,0.000451877,7.32e-05,2.96e-06,3.07e-07,11.24090731,194.99003100000002,228.7729676245467,36.08010101,-115.15200039999999,34.20980072,-118.4899979,Domestic Out-of-CA,G400,991.5531135,1,2.1522727272727273,982.0,491.0,0.0005702452400898991,0.0969555925913963,0.547,11.4239039
VNYLAS,LASVNY,VNY,LAS,499,33.59298597,19.80460922,0.720653421,2.2718503290000003,0.0006772989999999999,0.005834328000000001,0.007939541999999999,0.002305503,0.00048472900000000004,7.28e-05,3.43e-06,3.82e-07,10.99982977,194.99003100000002,228.7729676245467,34.20980072,-118.4899979,36.08010101,-115.15200039999999,Domestic Out-of-CA,G400,1133.6533140000001,1,2.1522727272727273,998.0,499.0,0.0005500326486160353,0.09436107406875742,0.3211,8.998573784
LAXLGB,LAXLGB,LAX,LGB,120,8.7,19.66666667,2.7944230039999995,8.817167013999999,0.004126686,0.02099449,0.047383037,0.022016817999999997,0.0037852,0.00015185899999999998,2.71e-05,5.23e-06,43.35,17.04564698,17.04564698,33.94250107,-118.40799709999999,33.81769943,-118.15200039999999,Intra-CA,A306,1058.060042,1,2.0454545454545454,600.0,360.0,0.00024645622897474746,0.006095185185222222,0.3211,8.998573784
LGBLAX,LAXLGB,LGB,LAX,63,6.63968254,19.92857143,2.047245877,6.461743243,0.00214217,0.016146788999999998,0.031092631000000003,0.016429866,0.0034784840000000004,9.98e-05,2.71e-05,4.66e-06,36.21428571,17.04564698,17.04564698,33.81769943,-118.15200039999999,33.94250107,-118.40799709999999,Intra-CA,A306,407.08982430000003,1,2.0454545454545454,252.0,189.0,0.00022449855701010103,0.002480388889008333,0.1298,3.7754140539999996
LAXLVK,LAXLVK,LAX,LVK,18,43.65555556,21.05555556,0.7338855409999999,2.313190811,0.00021565400000000002,0.0035975559999999996,0.009790617,0.001375254,0.000312698,0.00011565700000000001,7.21e-07,1.1900000000000001e-07,9.666666667000001,321.7891708,321.7891708,33.94250107,-118.40799709999999,37.69340134,-121.8199997,Intra-CA,BD700,41.6374346,1,2.213636363636364,36.0,18.0,0.0006921837823464646,0.0044121481486,0.3211,8.998573784
LVKLAX,LAXLVK,LVK,LAX,18,46.43333333,22.83333333,0.789428748,2.4881752280000002,0.000200483,0.004633918,0.010301865,0.001452023,0.00042298300000000004,0.000149011,1.57e-06,2.77e-07,10.33333333,321.7891708,321.7891708,37.69340134,-121.8199997,33.94250107,-118.40799709999999,Intra-CA,BD700,44.7871541,1,2.213636363636364,36.0,18.0,0.0007362213804118688,0.00469288888855,0.0436,0.9828583332999999
LAXMMH,LAXMMH,LAX,MMH,305,42.04754098,23.20491803,0.27688222100000004,0.8726995879999999,2.42e-05,0.001244328,0.00315294,0.000331445,0.00010897700000000001,1.82e-05,2.7800000000000003e-07,8.329999999999999e-09,39.85155492,254.9712929,254.9712929,33.94250107,-118.40799709999999,37.62409973,-118.83799740000002,Intra-CA,CL700RJ,266.1733744,0,2.0318181818181817,1525.0,915.0,0.0006418770905217171,0.07209740740121759,0.3211,8.998573784
MMHLAX,LAXMMH,MMH,LAX,300,47.59333333,33.22333333,0.315804348,0.995389932,1.93e-05,0.001507789,0.003553653,0.00033275300000000003,0.00013899,2.05e-05,2.59e-07,1.03e-08,39.755,254.9712929,254.9712929,37.62409973,-118.83799740000002,33.94250107,-118.40799709999999,Intra-CA,CL700RJ,298.61697960000004,0,2.0318181818181817,1500.0,900.0,0.0007601351851290404,0.0804367592536111,0.1298,3.7754140539999996
LAXONT,LAXONT,LAX,ONT,89,19.07752809,22.5,1.136291366,3.583432935,0.001226848,0.007053368000000001,0.019765364,0.005904601999999999,0.001014695,8.04e-05,7.47e-06,1.1e-06,81.29705057,46.98212259,46.98212259,33.94250107,-118.40799709999999,34.05599976,-117.60099790000001,Intra-CA,A321,318.92553119999997,1,2.0454545454545454,801.0,534.0,0.00038012342526515155,0.009675055555611111,0.3211,8.998573784
ONTLAX,LAXONT,ONT,LAX,106,10.04339623,25.61320755,0.577326307,1.821530022,0.000641528,0.004165546,0.010106007,0.004068739,0.000810498,3.8900000000000004e-05,5.75e-06,1.18e-06,95.17555779999999,46.98212259,46.98212259,34.05599976,-117.60099790000001,33.94250107,-118.40799709999999,Intra-CA,A321,193.0821823,1,2.0454545454545454,1166.0,742.0,0.00029475843344696967,0.006233555557694445,0.1298,3.7754140539999996
PSPLAX,LAXPSP,PSP,LAX,874,19.36773455,30.51601831,0.308186923,0.972174193,0.000229213,0.002984099,0.0028434209999999996,0.0007399969999999999,0.00029171,2.0399999999999998e-05,3.49e-06,5.34e-07,35.29556309,109.5470993,109.5470993,33.82970047,-116.50700379999999,33.94250107,-118.40799709999999,Intra-CA,CL600RJ,849.6802449999999,0,1.9272727272727272,3496.0,2622.0,0.00041523847165151516,0.09706903701897596,0.1298,3.7754140539999996
LAXSBD,LAXSBD,LAX,SBD,70,15.61428571,19.58571429,0.45155340200000005,1.4246454780000002,0.000243787,0.002384223,0.007156142,0.003451901,0.0005636819999999999,3.48e-05,3.38e-06,4.0700000000000003e-07,105.74876699999999,68.14068353,68.14068353,33.94250107,-118.40799709999999,34.09540176,-117.2350006,Intra-CA,B752,99.72518345,1,2.0954545454545452,840.0,560.0,0.00032891522363914143,0.00624388888725,0.3211,8.998573784
LAXSCK,LAXSCK,LAX,SCK,552,45.86449275,22.50362319,0.248522955,0.783367735,0.00014463,0.001543375,0.001957852,0.000312606,9.059999999999999e-05,3.19e-05,2.17e-06,1.87e-07,24.40836146,315.2676248,315.2676248,33.94250107,-118.40799709999999,37.89419937,-121.237999,Intra-CA,CL600RJ,432.4189896000001,0,1.9272727272727272,1656.0,1104.0,0.0006544278289848485,0.1421539629519333,0.3211,8.998573784
SCKLAX,LAXSCK,SCK,LAX,552,47.81014493,29.04710145,0.263677123,0.8311667770000001,0.000166902,0.0018100229999999998,0.0020601260000000002,0.000300431,0.000128943,3.3299999999999996e-05,2.11e-06,3.45e-07,24.35133496,315.2676248,315.2676248,37.89419937,-121.237999,33.94250107,-118.40799709999999,Intra-CA,CL600RJ,458.8040609,0,1.9272727272727272,1656.0,1104.0,0.0007116127214474748,0.14845507408166667,0.0436,0.9828583332999999
LAXSGU,LAXSGU,LAX,SGU,262,57.15725191,21.71755725,0.232606316,0.733187534,0.000138513,0.001451305,0.0018257420000000002,0.000382741,0.000112027,3.1e-05,2.77e-06,2.41e-07,29.29202811,202.041915,348.84407905395085,33.94250107,-118.40799709999999,37.036389,-113.510306,Domestic Out-of-CA,CL600RJ,192.0951339,0,1.9272727272727272,1048.0,524.0,0.0007709731667888888,0.08388979629858334,0.3211,8.998573784
